Wavenumber	Reflectance
1714.84	0.03084
1712.91	0.03064
1710.98	0.03014
1709.05	0.03001
1707.12	0.02991
1705.20	0.02981
1703.27	0.02983
1701.34	0.02983
1699.41	0.02992
1697.48	0.03011
1695.55	0.03031
1693.62	0.03009
1691.69	0.03008
1689.76	0.03038
1687.84	0.03045
1685.91	0.03023
1683.98	0.03010
1682.05	0.02980
1680.12	0.02929
1678.19	0.02867
1676.26	0.02841
1674.33	0.02856
1672.40	0.02862
1670.47	0.02850
1668.55	0.02840
1666.62	0.02871
1664.69	0.02948
1662.76	0.03039
1660.83	0.03168
1658.90	0.03313
1656.97	0.03496
1655.04	0.03698
1653.11	0.04003
1651.19	0.04303
1649.26	0.04555
1647.33	0.04861
1645.40	0.05154
1643.47	0.05364
1641.54	0.05584
1639.61	0.05819
1637.68	0.06001
1635.75	0.06184
1633.82	0.06361
1631.90	0.06465
1629.97	0.06547
1628.04	0.06604
1626.11	0.06673
1624.18	0.06736
1622.25	0.06761
1620.32	0.06778
1618.39	0.06813
1616.46	0.06829
1614.54	0.06829
1612.61	0.06789
1610.68	0.06763
1608.75	0.06746
1606.82	0.06708
1604.89	0.06669
1602.96	0.06630
1601.03	0.06607
1599.10	0.06582
1597.17	0.06530
1595.25	0.06508
1593.32	0.06523
1591.39	0.06550
1589.46	0.06575
1587.53	0.06608
1585.60	0.06656
1583.67	0.06718
1581.74	0.06775
1579.81	0.06819
1577.88	0.06871
1575.96	0.06940
1574.03	0.06948
1572.10	0.06929
1570.17	0.06930
1568.24	0.06889
1566.31	0.06860
1564.38	0.06846
1562.45	0.06839
1560.52	0.06884
1558.60	0.06884
1556.67	0.06820
1554.74	0.06801
1552.81	0.06804
1550.88	0.06792
1548.95	0.06759
1547.02	0.06754
1545.09	0.06776
1543.16	0.06759
1541.23	0.06741
1539.31	0.06745
1537.38	0.06714
1535.45	0.06678
1533.52	0.06640
1531.59	0.06602
1529.66	0.06604
1527.73	0.06629
1525.80	0.06646
1523.87	0.06662
1521.95	0.06686
1520.02	0.06696
1518.09	0.06697
1516.16	0.06694
1514.23	0.06658
1512.30	0.06617
1510.37	0.06580
1508.44	0.06565
1506.51	0.06511
1504.58	0.06414
1502.66	0.06327
1500.73	0.06264
1498.80	0.06209
1496.87	0.06132
1494.94	0.06001
1493.01	0.05908
1491.08	0.05817
1489.15	0.05688
1487.22	0.05572
1485.29	0.05472
1483.37	0.05344
1481.44	0.05218
1479.51	0.05092
1477.58	0.04982
1475.65	0.04894
1473.72	0.04858
1471.79	0.04811
1469.86	0.04737
1467.93	0.04718
1466.01	0.04729
1464.08	0.04734
1462.15	0.04723
1460.22	0.04712
1458.29	0.04738
1456.36	0.04749
1454.43	0.04733
1452.50	0.04705
1450.57	0.04659
1448.65	0.04607
1446.72	0.04534
1444.79	0.04448
1442.86	0.04377
1440.93	0.04286
1439.00	0.04201
1437.07	0.04144
1435.14	0.04049
1433.21	0.03926
1431.28	0.03804
1429.36	0.03718
