Wavenumber	Reflectance									
1869.1579	0.26252									
1867.229071	0.26418									
1865.299556	0.26619									
1863.370553	0.26772									
1861.441724	0.26912									
1859.512769	0.27059									
1857.583702	0.27219									
1855.654845	0.27399									
1853.7259	0.27566									
1851.796881	0.27740									
1849.867766	0.27873									
1847.938773	0.28000									
1846.009914	0.28040									
1844.080861	0.28133									
1842.151933	0.28440									
1840.223006	0.28674									
1838.294092	0.28827									
1836.365172	0.28981									
1834.436796	0.29141									
1832.507831	0.29234									
1830.578898	0.29254									
1828.649875	0.29435									
1826.720941	0.29595									
1824.791945	0.29708									
1822.863063	0.29888									
1820.934144	0.30002									
1819.004703	0.30082									
1817.075748	0.30142									
1815.146794	0.30195									
1813.21769	0.30189									
1811.288778	0.30142									
1809.359906	0.30102									
1807.430956	0.30022									
1805.501877	0.29815									
1803.572585	0.29441									
1801.643712	0.28941									
1799.714749	0.28534									
1797.785775	0.28380									
1795.856804	0.28320									
1793.927784	0.28213									
1791.998954	0.28400									
1790.069973	0.28987									
1788.141784	0.29481									
1786.212735	0.29748									
1784.283895	0.29968									
1782.354802	0.30142									
1780.425975	0.30255									
1778.496923	0.30395									
1776.568006	0.30469									
1774.639049	0.30395									
1772.709625	0.30269									
1770.78066	0.30436									
1768.851696	0.30576									
1766.922778	0.30676									
